what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1265721777434
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1265721778976
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1265721778996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721779246
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1265721781970
started,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1265721782181
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721782792
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1265721782812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721786867
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1265721805865
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1265721805955
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1265721806466
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721806506
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721813846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721815759
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265721816280
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1265721821137
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1265721821287
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1265721821437
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1265721821607
