what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501253609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501254968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501257140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501308781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501309437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501309843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501311468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501312921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501336968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501337828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501338140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501342062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501342421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501342812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501404828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501405859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501448468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501460734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501542875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501543562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501545000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501574218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323501575640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323501577750
error,log,,,"Unhandled event loop exception",1323501801843
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323502599312
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1323502603140
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323502605171
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1323502608984
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323502610468
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323502613937
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1323502624406
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323502626093
closed,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323502626093
closed,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.layout.LayoutEditor",1323502626109
closed,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1323502626125
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1323502626140
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1323502626171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323502628109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323502629671
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1323502629750
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323502629843
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1323502631031
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1323502631062
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1323502631093
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1323502631125
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1323502631156
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1323502631171
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1323502631187
